»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.43.0
»»»  Vision Version:	5.43.2 (R)
»»»  Vision Compiled:	12/22/22
»»»  Driver Version:	5.43.1
»»»  Windows Version:	Windows 8, 8.1 or 10
»»»  Processor Information:	x86 (AMD or Intel) - 6 Processors
»»»  Tester Name:	PLC20323-466 (30V)
»»»  Tester S/N:	PLC20323-466
»»»  Internal Amp Type:	 30V RevH   5k
»»»  Internal Amp S/N:	iAB1-478/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/10/2025 - 16:34:39
Configured:	04/10/25 10:58:41 AM
Executed:	04/10/25 04:34:08 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (µm):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PLC20323-466 (30V)
Tester Serial Number:	PLC20323-466
Return Signal Amp. Level:	0.19 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-3
Volts:	8.00
Field:	266.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	10001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (µC/cm2)	Capacitance (µF)	Normalized Capacitance (µF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0003	-18.576712	-12.442026	-124420.256967	-4.219820	-0.003986
   2	1.0000e-03	0.0018	-18.616568	-12.442026	-124420.256967	-4.219820	-0.003986
   3	2.0000e-03	0.0051	-18.588669	8.709418	87094.179877	2.953874	0.002790
   4	3.0000e-03	0.0084	-18.572727	4.976810	49768.102787	1.687928	0.001594
   5	4.0000e-03	0.0108	-18.584683	-3.732608	-37326.077090	-1.265946	-0.001196
   6	5.0000e-03	0.0133	-18.508958	23.639849	236398.488237	8.017658	0.007573
   7	6.0000e-03	0.0178	-18.596640	-27.372457	-273724.565327	-9.283605	-0.008768
   8	7.0000e-03	0.0221	-18.540842	17.418836	174188.359754	5.907748	0.005580
   9	8.0000e-03	0.0243	-18.588669	-14.930431	-149304.308360	-5.063784	-0.004783
  10	9.0000e-03	0.0275	-18.564756	7.465215	74652.154180	2.531892	0.002391
  11	1.0000e-02	0.0302	-18.564756	0.000000	0.000000	0.000000	0.000000
  12	1.1000e-02	0.0340	-18.584683	-6.221013	-62210.128483	-2.109910	-0.001993
  13	1.2000e-02	0.0364	-18.524900	18.663039	186630.385450	6.329730	0.005978
  14	1.3000e-02	0.0402	-18.508958	4.976810	49768.102787	1.687928	0.001594
  15	1.4000e-02	0.0420	-18.556784	-14.930431	-149304.308360	-5.063784	-0.004783
  16	1.5000e-02	0.0464	-18.544828	3.732608	37326.077090	1.265946	0.001196
  17	1.6000e-02	0.0489	-18.568741	-7.465215	-74652.154180	-2.531892	-0.002391
  18	1.7000e-02	0.0516	-18.481059	27.372457	273724.565327	9.283605	0.008768
  19	1.8000e-02	0.0565	-18.504972	-7.465215	-74652.154180	-2.531892	-0.002391
  20	1.9000e-02	0.0602	-18.516929	-3.732608	-37326.077090	-1.265946	-0.001196
  21	2.0000e-02	0.0615	-18.473088	13.686228	136862.282664	4.641802	0.004384
  22	2.1000e-02	0.0665	-18.568741	-29.860862	-298608.616721	-10.127569	-0.009565
  23	2.2000e-02	0.0682	-18.477073	28.616659	286166.591024	9.705587	0.009167
  24	2.3000e-02	0.0723	-18.520914	-13.686228	-136862.282664	-4.641802	-0.004384
  25	2.4000e-02	0.0745	-18.477073	13.686228	136862.282664	4.641802	0.004384
  26	2.5000e-02	0.0783	-18.485044	-2.488405	-24884.051393	-0.843964	-0.000797
  27	2.6000e-02	0.0825	-18.481059	1.244203	12442.025697	0.421982	0.000399
  28	2.7000e-02	0.0838	-18.429246	16.174633	161746.334057	5.485766	0.005181
  29	2.8000e-02	0.0878	-18.481059	-16.174633	-161746.334057	-5.485766	-0.005181
  30	2.9000e-02	0.0915	-18.469102	3.732608	37326.077090	1.265946	0.001196
  31	3.0000e-02	0.0957	-18.465116	1.244203	12442.025697	0.421982	0.000399
  32	3.1000e-02	0.0981	-18.405333	18.663039	186630.385450	6.329730	0.005978
  33	3.2000e-02	0.1004	-18.437217	-9.953621	-99536.205574	-3.375856	-0.003188
  34	3.3000e-02	0.1044	-18.421275	4.976810	49768.102787	1.687928	0.001594
  35	3.4000e-02	0.1075	-18.433232	-3.732608	-37326.077090	-1.265946	-0.001196
  36	3.5000e-02	0.1096	-18.477073	-13.686228	-136862.282664	-4.641802	-0.004384
  37	3.6000e-02	0.1141	-18.437217	12.442026	124420.256967	4.219820	0.003986
  38	3.7000e-02	0.1176	-18.461131	-7.465215	-74652.154180	-2.531892	-0.002391
  39	3.8000e-02	0.1197	-18.369463	28.616659	286166.591024	9.705587	0.009167
  40	3.9000e-02	0.1231	-18.421275	-16.174633	-161746.334057	-5.485766	-0.005181
  41	4.0000e-02	0.1247	-18.437217	-4.976810	-49768.102787	-1.687928	-0.001594
  42	4.1000e-02	0.1306	-18.357506	24.884051	248840.513934	8.439640	0.007971
  43	4.2000e-02	0.1343	-18.421275	-19.907241	-199072.411147	-6.751712	-0.006377
  44	4.3000e-02	0.1350	-18.385405	11.197823	111978.231270	3.797838	0.003587
  45	4.4000e-02	0.1386	-18.361492	7.465215	74652.154180	2.531892	0.002391
  46	4.5000e-02	0.1426	-18.337578	7.465215	74652.154180	2.531892	0.002391
  47	4.6000e-02	0.1468	-18.349535	-3.732608	-37326.077090	-1.265946	-0.001196
  48	4.7000e-02	0.1482	-18.381420	-9.953621	-99536.205574	-3.375856	-0.003188
  49	4.8000e-02	0.1527	-18.385405	-1.244203	-12442.025697	-0.421982	-0.000399
  50	4.9000e-02	0.1557	-18.397362	-3.732608	-37326.077090	-1.265946	-0.001196
  51	5.0000e-02	0.1604	-18.405333	-2.488405	-24884.051393	-0.843964	-0.000797
  52	5.1000e-02	0.1622	-18.329607	23.639849	236398.488237	8.017658	0.007573
  53	5.2000e-02	0.1648	-18.341564	-3.732608	-37326.077090	-1.265946	-0.001196
  54	5.3000e-02	0.1675	-18.297723	13.686228	136862.282664	4.641802	0.004384
  55	5.4000e-02	0.1720	-18.329607	-9.953621	-99536.205574	-3.375856	-0.003188
  56	5.5000e-02	0.1749	-18.309679	6.221013	62210.128483	2.109910	0.001993
  57	5.6000e-02	0.1778	-18.285766	7.465215	74652.154180	2.531892	0.002391
  58	5.7000e-02	0.1813	-18.341564	-17.418836	-174188.359754	-5.907748	-0.005580
  59	5.8000e-02	0.1845	-18.237939	32.349267	323492.668114	10.971533	0.010362
  60	5.9000e-02	0.1879	-18.285766	-14.930431	-149304.308360	-5.063784	-0.004783
  61	6.0000e-02	0.1904	-18.241925	13.686228	136862.282664	4.641802	0.004384
  62	6.1000e-02	0.1939	-18.321636	-24.884051	-248840.513934	-8.439640	-0.007971
  63	6.2000e-02	0.1956	-18.293737	8.709418	87094.179877	2.953874	0.002790
  64	6.3000e-02	0.1996	-18.202069	28.616659	286166.591024	9.705587	0.009167
  65	6.4000e-02	0.2037	-18.281781	-24.884051	-248840.513934	-8.439640	-0.007971
  66	6.5000e-02	0.2067	-18.166199	36.081875	360818.745204	12.237479	0.011558
  67	6.6000e-02	0.2092	-18.313665	-46.035495	-460354.950778	-15.613335	-0.014747
  68	6.7000e-02	0.2139	-18.229968	26.128254	261282.539631	8.861622	0.008370
  69	6.8000e-02	0.2143	-18.269824	-12.442026	-124420.256967	-4.219820	-0.003986
  70	6.9000e-02	0.2195	-18.218011	16.174633	161746.334057	5.485766	0.005181
  71	7.0000e-02	0.2232	-18.233954	-4.976810	-49768.102787	-1.687928	-0.001594
  72	7.1000e-02	0.2251	-18.218011	4.976810	49768.102787	1.687928	0.001594
  73	7.2000e-02	0.2292	-18.190113	8.709418	87094.179877	2.953874	0.002790
  74	7.3000e-02	0.2320	-18.229968	-12.442026	-124420.256967	-4.219820	-0.003986
  75	7.4000e-02	0.2361	-18.174170	17.418836	174188.359754	5.907748	0.005580
  76	7.5000e-02	0.2379	-18.225983	-16.174633	-161746.334057	-5.485766	-0.005181
  77	7.6000e-02	0.2418	-18.150257	23.639849	236398.488237	8.017658	0.007573
  78	7.7000e-02	0.2468	-18.186127	-11.197823	-111978.231270	-3.797838	-0.003587
  79	7.8000e-02	0.2470	-18.162214	7.465215	74652.154180	2.531892	0.002391
  80	7.9000e-02	0.2507	-18.118372	13.686228	136862.282664	4.641802	0.004384
  81	8.0000e-02	0.2531	-18.174170	-17.418836	-174188.359754	-5.907748	-0.005580
  82	8.1000e-02	0.2575	-18.142286	9.953621	99536.205574	3.375856	0.003188
  83	8.2000e-02	0.2615	-18.190113	-14.930431	-149304.308360	-5.063784	-0.004783
  84	8.3000e-02	0.2641	-18.138300	16.174633	161746.334057	5.485766	0.005181
  85	8.4000e-02	0.2671	-18.126344	3.732608	37326.077090	1.265946	0.001196
  86	8.5000e-02	0.2716	-18.130329	-1.244203	-12442.025697	-0.421982	-0.000399
  87	8.6000e-02	0.2732	-18.074531	17.418836	174188.359754	5.907748	0.005580
  88	8.7000e-02	0.2748	-18.142286	-21.151444	-211514.436844	-7.173694	-0.006775
  89	8.8000e-02	0.2785	-18.098445	13.686228	136862.282664	4.641802	0.004384
  90	8.9000e-02	0.2821	-18.086488	3.732608	37326.077090	1.265946	0.001196
  91	9.0000e-02	0.2860	-18.026704	18.663039	186630.385450	6.329730	0.005978
  92	9.1000e-02	0.2911	-18.038661	-3.732608	-37326.077090	-1.265946	-0.001196
  93	9.2000e-02	0.2921	-18.046632	-2.488405	-24884.051393	-0.843964	-0.000797
  94	9.3000e-02	0.2964	-18.066560	-6.221013	-62210.128483	-2.109910	-0.001993
  95	9.4000e-02	0.2988	-18.042647	7.465215	74652.154180	2.531892	0.002391
  96	9.5000e-02	0.3031	-18.098445	-17.418836	-174188.359754	-5.907748	-0.005580
  97	9.6000e-02	0.3056	-18.042647	17.418836	174188.359754	5.907748	0.005580
  98	9.7000e-02	0.3075	-18.026704	4.976810	49768.102787	1.687928	0.001594
  99	9.8000e-02	0.3130	-18.030690	-1.244203	-12442.025697	-0.421982	-0.000399
 100	9.9000e-02	0.3163	-18.070546	-12.442026	-124420.256967	-4.219820	-0.003986
 101	1.0000e-01	0.3191	-17.939022	41.058685	410586.847991	13.925407	0.013152
 102	1.0100e-01	0.3209	-17.994820	-17.418836	-174188.359754	-5.907748	-0.005580
 103	1.0200e-01	0.3242	-17.990834	1.244203	12442.025697	0.421982	0.000399
 104	1.0300e-01	0.3294	-17.978878	3.732608	37326.077090	1.265946	0.001196
 105	1.0400e-01	0.3313	-17.982863	-1.244203	-12442.025697	-0.421982	-0.000399
 106	1.0500e-01	0.3352	-17.923080	18.663039	186630.385450	6.329730	0.005978
 107	1.0600e-01	0.3374	-17.990834	-21.151444	-211514.436844	-7.173694	-0.006775
 108	1.0700e-01	0.3424	-17.950979	12.442026	124420.256967	4.219820	0.003986
 109	1.0800e-01	0.3439	-17.939022	3.732608	37326.077090	1.265946	0.001196
 110	1.0900e-01	0.3479	-17.990834	-16.174633	-161746.334057	-5.485766	-0.005181
 111	1.1000e-01	0.3507	-17.899166	28.616659	286166.591024	9.705587	0.009167
 112	1.1100e-01	0.3545	-17.883224	4.976810	49768.102787	1.687928	0.001594
 113	1.1200e-01	0.3558	-17.835397	14.930431	149304.308360	5.063784	0.004783
 114	1.1300e-01	0.3605	-17.875253	-12.442026	-124420.256967	-4.219820	-0.003986
 115	1.1400e-01	0.3640	-17.911123	-11.197823	-111978.231270	-3.797838	-0.003587
 116	1.1500e-01	0.3665	-17.907138	1.244203	12442.025697	0.421982	0.000399
 117	1.1600e-01	0.3693	-17.939022	-9.953621	-99536.205574	-3.375856	-0.003188
 118	1.1700e-01	0.3739	-17.811484	39.814482	398144.822294	13.503425	0.012754
 119	1.1800e-01	0.3757	-17.867282	-17.418836	-174188.359754	-5.907748	-0.005580
 120	1.1900e-01	0.3792	-17.783585	26.128254	261282.539631	8.861622	0.008370
 121	1.2000e-01	0.3821	-17.843369	-18.663039	-186630.385450	-6.329730	-0.005978
 122	1.2100e-01	0.3855	-17.831412	3.732608	37326.077090	1.265946	0.001196
 123	1.2200e-01	0.3886	-17.779599	16.174633	161746.334057	5.485766	0.005181
 124	1.2300e-01	0.3918	-17.859311	-24.884051	-248840.513934	-8.439640	-0.007971
 125	1.2400e-01	0.3963	-17.795542	19.907241	199072.411147	6.751712	0.006377
 126	1.2500e-01	0.3989	-17.747715	14.930431	149304.308360	5.063784	0.004783
 127	1.2600e-01	0.4011	-17.747715	0.000000	0.000000	0.000000	0.000000
 128	1.2700e-01	0.4050	-17.739744	2.488405	24884.051393	0.843964	0.000797
 129	1.2800e-01	0.4082	-17.763657	-7.465215	-74652.154180	-2.531892	-0.002391
 130	1.2900e-01	0.4120	-17.727787	11.197823	111978.231270	3.797838	0.003587
 131	1.3000e-01	0.4150	-17.727787	0.000000	0.000000	0.000000	0.000000
 132	1.3100e-01	0.4189	-17.763657	-11.197823	-111978.231270	-3.797838	-0.003587
 133	1.3200e-01	0.4208	-17.751701	3.732608	37326.077090	1.265946	0.001196
 134	1.3300e-01	0.4247	-17.691917	18.663039	186630.385450	6.329730	0.005978
 135	1.3400e-01	0.4268	-17.719816	-8.709418	-87094.179877	-2.953874	-0.002790
 136	1.3500e-01	0.4307	-17.759672	-12.442026	-124420.256967	-4.219820	-0.003986
 137	1.3600e-01	0.4336	-17.707859	16.174633	161746.334057	5.485766	0.005181
 138	1.3700e-01	0.4372	-17.695903	3.732608	37326.077090	1.265946	0.001196
 139	1.3800e-01	0.4409	-17.664018	9.953621	99536.205574	3.375856	0.003188
 140	1.3900e-01	0.4426	-17.592278	22.395646	223956.462541	7.595676	0.007174
 141	1.4000e-01	0.4449	-17.679960	-27.372457	-273724.565327	-9.283605	-0.008768
 142	1.4100e-01	0.4504	-17.608220	22.395646	223956.462540	7.595676	0.007174
 143	1.4200e-01	0.4530	-17.608220	0.000000	0.000000	0.000000	0.000000
 144	1.4300e-01	0.4581	-17.552422	17.418836	174188.359754	5.907748	0.005580
 145	1.4400e-01	0.4590	-17.556408	-1.244203	-12442.025697	-0.421982	-0.000399
 146	1.4500e-01	0.4624	-17.608220	-16.174633	-161746.334057	-5.485766	-0.005181
 147	1.4600e-01	0.4653	-17.532495	23.639849	236398.488237	8.017658	0.007573
 148	1.4700e-01	0.4688	-17.580321	-14.930431	-149304.308360	-5.063784	-0.004783
 149	1.4800e-01	0.4723	-17.592278	-3.732608	-37326.077090	-1.265946	-0.001196
 150	1.4900e-01	0.4756	-17.620177	-8.709418	-87094.179877	-2.953874	-0.002790
 151	1.5000e-01	0.4777	-17.548437	22.395646	223956.462541	7.595676	0.007174
 152	1.5100e-01	0.4815	-17.540466	2.488405	24884.051393	0.843964	0.000797
 153	1.5200e-01	0.4838	-17.532495	2.488405	24884.051393	0.843964	0.000797
 154	1.5300e-01	0.4878	-17.472711	18.663039	186630.385450	6.329730	0.005978
 155	1.5400e-01	0.4915	-17.544451	-22.395646	-223956.462541	-7.595676	-0.007174
 156	1.5500e-01	0.4961	-17.456769	27.372457	273724.565327	9.283605	0.008768
 157	1.5600e-01	0.4977	-17.500610	-13.686228	-136862.282664	-4.641802	-0.004384
 158	1.5700e-01	0.5020	-17.448798	16.174633	161746.334057	5.485766	0.005181
 159	1.5800e-01	0.5046	-17.480682	-9.953621	-99536.205574	-3.375856	-0.003188
 160	1.5900e-01	0.5070	-17.476697	1.244203	12442.025697	0.421982	0.000399
 161	1.6000e-01	0.5095	-17.432855	13.686228	136862.282664	4.641802	0.004384
 162	1.6100e-01	0.5132	-17.468726	-11.197823	-111978.231270	-3.797838	-0.003587
 163	1.6200e-01	0.5163	-17.420899	14.930431	149304.308360	5.063784	0.004783
 164	1.6300e-01	0.5191	-17.456769	-11.197823	-111978.231270	-3.797838	-0.003587
 165	1.6400e-01	0.5228	-17.420899	11.197823	111978.231270	3.797838	0.003587
 166	1.6500e-01	0.5257	-17.353144	21.151444	211514.436844	7.173694	0.006775
 167	1.6600e-01	0.5299	-17.385029	-9.953621	-99536.205574	-3.375856	-0.003188
 168	1.6700e-01	0.5331	-17.369086	4.976810	49768.102787	1.687928	0.001594
 169	1.6800e-01	0.5357	-17.385029	-4.976810	-49768.102787	-1.687928	-0.001594
 170	1.6900e-01	0.5389	-17.321260	19.907241	199072.411147	6.751712	0.006377
 171	1.7000e-01	0.5424	-17.345173	-7.465215	-74652.154180	-2.531892	-0.002391
 172	1.7100e-01	0.5465	-17.333216	3.732608	37326.077090	1.265946	0.001196
 173	1.7200e-01	0.5480	-17.313289	6.221013	62210.128483	2.109910	0.001993
 174	1.7300e-01	0.5510	-17.289375	7.465215	74652.154180	2.531892	0.002391
 175	1.7400e-01	0.5539	-17.293361	-1.244203	-12442.025697	-0.421982	-0.000399
 176	1.7500e-01	0.5583	-17.289375	1.244203	12442.025697	0.421982	0.000399
 177	1.7600e-01	0.5621	-17.241548	14.930431	149304.308360	5.063784	0.004783
 178	1.7700e-01	0.5663	-17.265462	-7.465215	-74652.154180	-2.531892	-0.002391
 179	1.7800e-01	0.5695	-17.241548	7.465215	74652.154180	2.531892	0.002391
 180	1.7900e-01	0.5721	-17.217635	7.465215	74652.154180	2.531892	0.002391
 181	1.8000e-01	0.5740	-17.209664	2.488405	24884.051393	0.843964	0.000797
 182	1.8100e-01	0.5782	-17.193722	4.976810	49768.102787	1.687928	0.001594
 183	1.8200e-01	0.5782	-17.205678	3.732608	37326.077090	1.265946	-0.001196
 184	1.8300e-01	0.5836	-17.189736	4.976810	49768.102787	1.687928	0.001594
 185	1.8400e-01	0.5866	-17.157852	9.953621	99536.205574	3.375856	0.003188
 186	1.8500e-01	0.5903	-17.185751	-8.709418	-87094.179877	-2.953874	-0.002790
 187	1.8600e-01	0.5937	-17.110025	23.639849	236398.488237	8.017658	0.007573
 188	1.8700e-01	0.5971	-17.157852	-14.930431	-149304.308360	-5.063784	-0.004783
 189	1.8800e-01	0.5998	-17.149880	2.488405	24884.051393	0.843964	0.000797
 190	1.8900e-01	0.6035	-17.117996	9.953621	99536.205574	3.375856	0.003188
 191	1.9000e-01	0.6058	-17.133938	-4.976810	-49768.102787	-1.687928	-0.001594
 192	1.9100e-01	0.6096	-17.102054	9.953621	99536.205574	3.375856	0.003188
 193	1.9200e-01	0.6119	-17.106039	-1.244203	-12442.025697	-0.421982	-0.000399
 194	1.9300e-01	0.6167	-17.042270	19.907241	199072.411147	6.751712	0.006377
 195	1.9400e-01	0.6187	-17.078140	-11.197823	-111978.231270	-3.797838	-0.003587
 196	1.9500e-01	0.6225	-16.998429	24.884051	248840.513934	8.439640	0.007971
 197	1.9600e-01	0.6246	-17.058212	-18.663039	-186630.385450	-6.329730	-0.005978
