»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.43.0
»»»  Vision Version:	5.43.2 (R)
»»»  Vision Compiled:	12/22/22
»»»  Driver Version:	5.43.1
»»»  Windows Version:	Windows 8, 8.1 or 10
»»»  Processor Information:	x86 (AMD or Intel) - 6 Processors
»»»  Tester Name:	PLC20323-466 (30V)
»»»  Tester S/N:	PLC20323-466
»»»  Internal Amp Type:	 30V RevH   5k
»»»  Internal Amp S/N:	iAB1-478/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/12/2025 - 18:32:8
Configured:	04/12/25 06:26:52 PM
Executed:	04/12/25 06:27:06 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (µm):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PLC20323-466 (30V)
Tester Serial Number:	PLC20323-466
Return Signal Amp. Level:	1.9 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-3
Volts:	8.00
Field:	266.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+03
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	16001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (µC/cm2)	Capacitance (µF)	Normalized Capacitance (µF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0002	-16.746513	-0.622036	-6220.363171	-0.210969	-0.000002
   2	6.2500e-02	0.0019	-16.747829	-0.622036	-6220.363171	-0.210969	-0.000002
   3	1.2500e-01	0.0041	-16.746952	0.414691	4146.908781	0.140646	0.000001
   4	1.8750e-01	0.0066	-16.744760	1.036727	10367.271952	0.351615	0.000004
   5	2.5000e-01	0.0085	-16.740376	2.073454	20734.543905	0.703230	0.000007
   6	3.1250e-01	0.0089	-16.736430	1.866109	18661.089514	0.632907	0.000006
   7	3.7500e-01	0.0127	-16.740814	-2.073454	-20734.543905	-0.703230	-0.000007
   8	4.3750e-01	0.0146	-16.731169	4.561600	45615.996591	1.547106	0.000015
   9	5.0000e-01	0.0137	-16.735115	1.866109	18661.089514	0.632907	-0.000006
  10	5.6250e-01	0.0174	-16.730292	2.280800	22807.998295	0.773553	0.000008
  11	6.2500e-01	0.0199	-16.728100	1.036727	10367.271952	0.351615	0.000004
  12	6.8750e-01	0.0228	-16.726785	0.622036	6220.363171	0.210969	0.000002
  13	7.5000e-01	0.0233	-16.721524	2.488145	24881.452686	0.843876	0.000008
  14	8.1250e-01	0.0259	-16.720647	0.414691	4146.908781	0.140646	0.000001
  15	8.7500e-01	0.0279	-16.717579	1.451418	14514.180733	0.492261	0.000005
  16	9.3750e-01	0.0304	-16.711879	2.695491	26954.907076	0.914199	0.000009
  17	1.0000e+00	0.0322	-16.711002	0.414691	4146.908781	0.140646	0.000001
  18	1.0625e+00	0.0346	-16.710564	0.207345	2073.454390	0.070323	0.000001
  19	1.1250e+00	0.0361	-16.707057	1.658764	16587.635124	0.562584	0.000006
  20	1.1875e+00	0.0381	-16.703111	1.866109	18661.089514	0.632907	0.000006
  21	1.2500e+00	0.0405	-16.696097	3.317527	33175.270248	1.125168	0.000011
  22	1.3125e+00	0.0406	-16.695220	0.414691	4146.908781	0.140646	0.000001
  23	1.3750e+00	0.0455	-16.689520	2.695491	26954.907076	0.914199	0.000009
  24	1.4375e+00	0.0461	-16.686890	1.244073	12440.726343	0.421938	0.000004
  25	1.5000e+00	0.0468	-16.686890	0.000000	0.000000	0.000000	0.000000
  26	1.5625e+00	0.0499	-16.680752	2.902836	29028.361467	0.984522	0.000010
  27	1.6250e+00	0.0520	-16.679437	0.622036	6220.363171	0.210969	0.000002
  28	1.6875e+00	0.0546	-16.675053	2.073454	20734.543905	0.703230	0.000007
  29	1.7500e+00	0.0556	-16.671984	1.451418	14514.180733	0.492261	0.000005
  30	1.8125e+00	0.0577	-16.664531	3.524872	35248.724638	1.195491	0.000012
  31	1.8750e+00	0.0588	-16.667162	-1.244073	-12440.726343	-0.421938	-0.000004
  32	1.9375e+00	0.0632	-16.663654	1.658764	16587.635124	0.562584	0.000006
  33	2.0000e+00	0.0633	-16.664531	-0.414691	-4146.908781	-0.140646	-0.000001
  34	2.0625e+00	0.0666	-16.657955	3.110182	31101.815857	1.054845	0.000011
  35	2.1250e+00	0.0689	-16.654009	1.866109	18661.089514	0.632907	0.000006
  36	2.1875e+00	0.0705	-16.647872	2.902836	29028.361467	0.984522	0.000010
  37	2.2500e+00	0.0721	-16.654009	-2.902836	-29028.361467	-0.984522	-0.000010
  38	2.3125e+00	0.0745	-16.643926	4.768945	47689.450981	1.617429	0.000016
  39	2.3750e+00	0.0761	-16.640419	1.658764	16587.635124	0.562584	0.000006
  40	2.4375e+00	0.0791	-16.636473	1.866109	18661.089514	0.632907	0.000006
  41	2.5000e+00	0.0794	-16.632527	1.866109	18661.089514	0.632907	0.000006
  42	2.5625e+00	0.0811	-16.632527	0.000000	0.000000	0.000000	0.000000
  43	2.6250e+00	0.0844	-16.629020	1.658764	16587.635124	0.562584	0.000006
  44	2.6875e+00	0.0837	-16.622444	-3.110182	-31101.815857	-1.054845	0.000011
  45	2.7500e+00	0.0890	-16.616745	2.695491	26954.907076	0.914199	0.000009
  46	2.8125e+00	0.0903	-16.620252	-1.658764	-16587.635124	-0.562584	-0.000006
  47	2.8750e+00	0.0900	-16.616306	-1.866109	-18661.089514	-0.632907	0.000006
  48	2.9375e+00	0.0953	-16.607100	4.354254	43542.542200	1.476783	0.000015
  49	3.0000e+00	0.0961	-16.602716	2.073454	20734.543905	0.703230	0.000007
  50	3.0625e+00	0.0984	-16.604031	-0.622036	-6220.363171	-0.210969	-0.000002
  51	3.1250e+00	0.0995	-16.600962	1.451418	14514.180733	0.492261	0.000005
  52	3.1875e+00	0.1028	-16.594824	2.902836	29028.361467	0.984522	0.000010
  53	3.2500e+00	0.1035	-16.591317	1.658764	16587.635124	0.562584	0.000006
  54	3.3125e+00	0.1061	-16.590002	0.622036	6220.363171	0.210969	0.000002
  55	3.3750e+00	0.1080	-16.585618	2.073454	20734.543905	0.703230	0.000007
  56	3.4375e+00	0.1097	-16.584303	0.622036	6220.363171	0.210969	0.000002
  57	3.5000e+00	0.1118	-16.577726	3.110182	31101.815857	1.054845	0.000011
  58	3.5625e+00	0.1141	-16.576411	0.622036	6220.363171	0.210969	0.000002
  59	3.6250e+00	0.1183	-16.567643	4.146909	41469.087810	1.406460	0.000014
  60	3.6875e+00	0.1187	-16.564136	1.658764	16587.635124	0.562584	0.000006
  61	3.7500e+00	0.1207	-16.560629	1.658764	16587.635124	0.562584	0.000006
  62	3.8125e+00	0.1223	-16.557998	1.244073	12440.726343	0.421938	0.000004
  63	3.8750e+00	0.1237	-16.551860	2.902836	29028.361467	0.984522	0.000010
  64	3.9375e+00	0.1260	-16.551860	0.000000	0.000000	0.000000	0.000000
  65	4.0000e+00	0.1279	-16.547915	1.866109	18661.089514	0.632907	0.000006
  66	4.0625e+00	0.1299	-16.545284	1.244073	12440.726343	0.421938	0.000004
  67	4.1250e+00	0.1317	-16.535639	4.561600	45615.996591	1.547106	0.000015
  68	4.1875e+00	0.1357	-16.533886	0.829382	8293.817562	0.281292	0.000003
  69	4.2500e+00	0.1360	-16.531255	1.244073	12440.726343	0.421938	0.000004
  70	4.3125e+00	0.1392	-16.527748	1.658764	16587.635124	0.562584	0.000006
  71	4.3750e+00	0.1398	-16.523364	2.073454	20734.543905	0.703230	0.000007
  72	4.4375e+00	0.1417	-16.515473	3.732218	37322.179029	1.265814	0.000013
  73	4.5000e+00	0.1426	-16.512842	1.244073	12440.726343	0.421938	0.000004
  74	4.5625e+00	0.1456	-16.508020	2.280800	22807.998295	0.773553	0.000008
  75	4.6250e+00	0.1479	-16.503636	2.073454	20734.543905	0.703230	0.000007
  76	4.6875e+00	0.1488	-16.495744	3.732218	37322.179029	1.265814	0.000013
  77	4.7500e+00	0.1517	-16.496183	-0.207345	-2073.454390	-0.070323	-0.000001
  78	4.8125e+00	0.1533	-16.489168	3.317527	33175.270248	1.125168	0.000011
  79	4.8750e+00	0.1570	-16.486099	1.451418	14514.180733	0.492261	0.000005
  80	4.9375e+00	0.1583	-16.478646	3.524872	35248.724638	1.195491	0.000012
  81	5.0000e+00	0.1599	-16.475578	1.451418	14514.180733	0.492261	0.000005
